팔로워 수,게시물 수,좋아요 수,댓글 수,참여율
80000,1211,280,3,0.0035375
80000,1211,260,0,0.00325
80000,1211,689,2,0.0086375
80000,1211,376,4,0.00475
80000,1211,292,2,0.003675
80000,1211,2365,1,0.029575
80000,1211,523,0,0.0065375
80000,1211,507,1,0.00635
80000,1211,503,0,0.0062875
80000,1211,5496,5,0.0687625
80000,1211,1828,1,0.0228625
80000,1211,28000,34,0.350425
80000,1211,4643,2,0.0580625
80000,1211,413,1,0.005175
80000,1211,4039,3,0.050525
80000,1211,381,0,0.0047625
80000,1211,4569,21,0.057375
80000,1211,1367,0,0.0170875
80000,1211,512,0,0.0064
80000,1211,2524,6,0.031625
80000,1211,67000,79,0.8384875
80000,1211,537,2,0.0067375
80000,1211,3345,18,0.0420375
80000,1211,19000,32,0.2379
80000,1211,804,1,0.0100625
80000,1211,385,2,0.0048375
80000,1211,34000,79,0.4259875
80000,1211,24000,36,0.30045
80000,1211,763,1,0.00955
80000,1211,1865,5,0.023375
,avg,7042.2,11.36666667,0.08816958333
,max,67000,79,0.8384875
,min,260,0,0.00325
,std,14387.36352,21.1667979,0.1800890516
