공연명,장소,날짜
두아 리파 내한공연,고척스카이돔,2024.12.04 - 2024.12.05
2024 성시경 연말 콘서트 〈성시경〉,KSPO DOME,2024.12.27 - 2024.12.31
조디 그립 내한공연 (Geordie Greep Live In Seoul),롤링홀,2025.02.20
YENA(최예나) 공식 팬클럽 지구미 2기 모집,해당없음,2024.11.25 - 2024.12.06
BOYNEXTDOOR TOUR ‘KNOCK ON Vol.1’ IN INCHEON,인스파이어 아레나,2024.12.14 - 2024.12.15
2024 장민호 전국투어 콘서트 ‘호시절(好時節) : 시간여행’,세종대학교 대양홀,2024.12.27 - 2024.12.29
터치드(TOUCHED) 단독 콘서트 ‘HIGHLIGHT Ⅲ’,올림픽공원 올림픽홀,2025.01.25 - 2025.01.26
WYBH 콘서트 Good bye 2024,블루스퀘어 마스터카드홀,2024.12.31
CHRISTMAS IN NELL’S ROOM 2024,잠실 학생체육관,2024.12.20 - 2024.12.22
keshi: REQUIEM TOUR IN SEOUL,올림픽공원 올림픽홀,2025.03.01
EPEX 3rd CONCERT 〈청춘결핍〉,KBS아레나,2024.12.28 - 2024.12.29
lIlBOI ［THE CAMP］ 2024,무신사 개러지,2024.12.13
적재 공식 팬클럽 학부모회 2기 추가 모집,팬클럽 모집,2024.11.22 - 2024.12.29
THE SOLUTIONS(솔루션스) 기획 파티 ‘FUTURE PUNK UNION Ⅲ’,EDLS (이들스),2024.12.08
2024 브로콜리너마저 연말공연 - 매일 새롭게 태어나는 꿈,노들섬 라이브하우스,2024.12.24 - 2024.12.25
MC스나이퍼 - Back To The Oldschool 3,무신사개러지,2024.12.21
김장훈 AI 콘서트 ＂토닥토닥＂,CKL스테이지,2024.12.13 - 2024.12.25
2024 소수빈 연말 콘서트,블루스퀘어 마스터카드홀,2024.12.27 - 2024.12.29
Jazz Meets Christmas 송영주 퀄텟,씨스퀘어,2024.12.21
2024 콩알탄 연말 미니콘서트 〈KONGALTAN〉,신한카드 SOL페이 스퀘어 라이브홀,2024.12.07 - 2024.12.08
러셀 피터스 스탠드업 라이브 코미디쇼,명화라이브홀,2025.04.05
2024 박새별 단독공연 〈Everblooming〉 - 과천,국립과천과학관 천체투영관,2024.12.21 - 2024.12.22
2024 손태진 단독 콘서트 〈The Showcase〉 전국투어,전국투어,2024.11.09 - 2025.01.19
COUNTDOWN FANTASY 2024-2025,킨텍스 5홀,2024.12.30 - 2024.12.31
2024 하현상 콘서트 〈Elegy〉,"서울, 부산, 대구",2024.11 - 2024.12
2024 윤마치(MRCH) 단독 콘서트［The Earth］,신한카드 SOL페이 스퀘어 라이브홀,2024.12.28 - 2024.12.29
2024 심규선 팬 콘서트［MY OLD ＆ UGLY SWEATER PARTY］,마포아트센터 아트홀 맥,2024.12.21 - 2024.12.22
2024 송민준 단독 콘서트 〈챕터3〉,성신여대 운정그린캠퍼스 대강당,2024.12.28
